mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,6,2,0.06,-2,-3,-0.03200000000000003,-9,-11,-0.02300000000000002,-1,4,3,4,1,-2,1,6,1
0,6,6,0.03799999999999998,-5,-17,0.052000000000000046,-2,-5,0.09200000000000008,-4,-4,-8,0,6,0,-9,-2,5
0,3,7,-0.0050000000000000044,-2,3,-0.16499999999999998,-2,-10,0.23599999999999988,8,13,21,-4,-4,-2,6,7,2
0,12,4,0.14500000000000002,3,1,0.175,-9,-17,0.17000000000000004,-5,4,-1,8,4,0,-2,8,18
0,5,3,0.04200000000000004,0,0,-0.0,-4,-8,0.133,0,-2,-2,1,0,0,0,8,6
0,7,1,0.07500000000000001,9,9,0.18200000000000005,-4,-5,-0.03500000000000003,2,6,8,11,3,5,0,3,19
0,5,13,-0.002999999999999947,0,-4,0.08299999999999996,2,1,0.05699999999999994,0,-7,-7,5,4,0,-10,2,12
0,0,-6,0.025000000000000022,3,1,0.14300000000000002,7,11,-0.04599999999999993,3,6,9,1,-4,-8,4,-11,10
0,8,3,0.08200000000000002,7,11,0.13599999999999995,-2,-6,0.09599999999999997,-10,0,-10,13,2,-3,-9,6,21
0,1,-17,0.10700000000000004,-3,-14,0.14,13,21,-0.19000000000000006,-5,12,7,-3,2,6,3,-2,12
0,3,5,0.008999999999999952,10,9,0.4590000000000001,-4,-6,0.05699999999999994,3,2,5,2,-1,4,-2,-2,12
0,5,10,0.007999999999999952,3,9,-0.006999999999999951,-8,-6,-0.14300000000000002,2,-3,-1,12,1,2,-3,0,5
0,2,4,0.0,2,-2,0.19600000000000006,-2,3,-0.21299999999999997,6,1,7,-4,1,-4,-1,0,4
0,2,-1,0.02999999999999997,1,-5,0.32100000000000006,0,3,-0.10299999999999998,1,12,13,11,-6,1,2,-3,5
0,3,-5,0.05499999999999999,-4,-10,-0.01100000000000001,-1,-1,-0.007999999999999896,-3,-4,-7,-7,1,5,-2,0,1
0,9,8,0.06799999999999995,6,4,0.20199999999999999,-9,-10,-0.15300000000000002,-2,-1,-3,12,1,2,-2,3,15
0,4,6,0.016000000000000014,1,-2,0.08600000000000002,2,-1,0.14700000000000002,3,2,5,2,-1,-4,1,3,11
0,-2,-11,0.04299999999999993,0,2,-0.050000000000000044,12,15,-0.010000000000000009,-2,2,0,1,1,1,2,-5,8
0,18,10,0.16500000000000004,3,1,0.10899999999999999,-4,-2,-0.15300000000000002,-2,3,1,4,10,3,-12,-4,35
0,7,3,0.07300000000000001,1,-8,0.13599999999999998,-2,-8,0.15900000000000003,-1,-2,-3,0,6,-1,-8,4,13
0,2,-3,0.041000000000000036,-2,-6,-0.008000000000000007,1,3,-0.07400000000000007,-2,1,-1,-2,-2,-3,-2,-6,3
0,10,-2,0.136,1,-8,0.18799999999999994,0,-1,0.04300000000000004,-5,7,2,3,3,7,-1,1,21
0,1,-10,0.052000000000000046,3,14,-0.025999999999999995,-1,2,-0.1140000000000001,-5,1,-4,-4,2,1,-3,-2,4
0,7,0,0.08100000000000002,2,6,-0.0050000000000000044,-6,-19,0.30900000000000005,-7,5,-2,14,0,8,1,12,10
0,1,10,-0.043999999999999984,4,6,0.066,1,-2,0.14,5,-7,-2,0,2,5,-10,-10,7
0,2,4,0.0010000000000000009,-1,8,-0.13800000000000007,3,4,-0.0040000000000000036,4,3,7,0,2,1,-2,1,6
0,-2,-1,-0.01699999999999996,-3,-13,0.07900000000000001,10,24,-0.267,14,2,16,6,2,-2,1,-10,3
0,4,-11,0.09199999999999997,1,-2,0.07200000000000001,1,2,-0.02199999999999991,-5,1,-4,2,-1,8,0,-4,10
0,3,11,-0.02200000000000002,1,6,-0.06400000000000006,1,-2,0.15300000000000002,2,-2,0,6,3,-1,-5,-1,8
0,14,6,0.14200000000000002,-3,-7,-0.0040000000000000036,-4,-12,0.348,-6,3,-3,9,6,-7,-8,7,21
0,0,15,-0.09599999999999992,-5,1,-0.26,6,9,-0.025000000000000022,4,-9,-5,-6,3,-2,-7,-12,1
